subject,relation,object
Vanderbilt Genetics Institute,is,Vanderbilt University School of Medicine
Pembrolizumab,is,IgG4 antibody consisting of affinity mouse anti-PD-1-derived variable region
Clinical Medicine,of Department is,Norway Nordland hospital
Liang H Liu X Wang M Immunotherapy,combined with,epidermal growth factor receptor tyrosine kinase inhibitors in non-small-cell lung cancer treatment Onco Targets
Oncology,of Laboratory is,Dalian Medical University
Prospective Biomedical Optics Research Unit,is,Department of Biophysics
Pulmonology,of Division is,Yonsei University College of Medicine
Recombinant human endostatin,is with,combined definitive chemoradiotherapy as primary treatment for patients
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,complete response in rectal cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
HTB177 cells,study,effects of pharmacological inhibition of P2X on metastasis of lung cancer
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of high affinity mouse region grafted
Department of Epidemiology and Public Health,Faculty of,medicine
engrafted cells,gave rise to,well differentiated mucociliary epithelia
Lgr5 cells,be,origin of gastric carcinoma specifically in intestinal histotype
C12 ion beam therapy,offers advantages compared,energy x-ray therapy as for example biological efficiency
Yue J Yu Z Tumor marker index,is significant prognostic factor for,patients with esophageal cell carcinoma Cancer Biomark Sect A Disease
Third Department of Internal Medicine,is,Wakayama Medical University
Nakamura T Nakao T Ashihara E Yoshimura N suppressor cells,recruit,Foxp3 T cells in murine cardiac allograft
MISSILE NSCLC study,evaluate outcomes after,treatment approach of SABR
Bevacizumab,is,anti-VEGF monoclonal antibody
Department of Radiation Oncology,is,Faculty of Medicine and University Hospital
Respiratory Medicine,of Department is,First Hospital of Jilin University
Mycetoma Research Center,Faculty of,Medicine
pharmacological study,evaluate,effects on doxorubicin resistant human myeloma cells
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto human IgG4 immunoglobulin molecule with Fc region
Department of Gynecologic Oncology,of Department is,Sungkyunkwan University School of Medicine
Liver Cancer Institute of Zhongshan Hospital,is,Fudan University Shanghai School of Medicine
National Cancer Center Hospital,Hospital of,Cancer Institute Hospital of the Japanese Foundation for Cancer Research
National Comprehensive Cancer Network,Association for,International Association for the Study of Lung Cancer
University of Texas M.D. Anderson Cancer Center,School of,School of Medicine
Department of Disease Control,is,Ministry of Public Health
medial laparotomy,was,performed with resection of area simultaneously with left nephrectomy
its biological consequences,require investigation,strongly associated with drug response
Department of Pathology,is,West Georgia Hospital
Medical Information Unit,is in,our Cancer Center
Department of Internal Medicine,is,Kaohsiung Medical University Hospital
based biomarkers,predict pCR after,SABR treatment with study on tumour
related IBMs,can promote,evaluation of changes within tumours
expressed miRNAs,have,As matter have studied in cancers
Department of Obstetrics and Gynecology,is,Peking Union Medical College Hospital
Department of Radiology and Radiation Oncology,School of,Hokkaido University Graduate School of Medicine
Drug Brand name Manufacturer Targets Applications,Approved,years of clinical trials Erdafitinib Balversa Janssen FGFR1 4 advanced cancer
Department of Medicine,is,University of Vermont College of Medicine
numerous biomarkers,are under,clinical evaluation for treatment of cancer
Medicine,of Department is,University Hospital Erlangen
cisplatin based chemoradiotherapy,showed improvement compared,sequential chemoradiotherapy
Clinical T status,were determined via,endoscopic ultrasound performed by endoscopists at our facility
serum elevated miR,be,promising diagnostic biomarker
Sun Yat sen University Cancer Center,is,cancer hospital in Guangdong Province in South China
Department of Radiology and Radiation Oncology,of Department is,Department of Clinical Radiology
blood TCR repertoire profiling,may facilitate,stratification for immunotherapy against melanoma Cancer Immunol Res
Strizzi L Bianco C Normanno N mesenchymal transition,is,characteristic of hyperplasias in mammary gland from MMTV Cripto 1 mice
MACS,specifically label CTCs with,8 monoclonal antibody
biological relevancy,generated by,MFR profiles
VEGFR targeting antibody ramucirumab,was,approved by Food Administration in United States for advanced gastric junction adenocarcinoma patients with progression on fluoropyrimidine - containing chemotherapy
HRM MAF titration,was,conducted by MAF in DNA sample from 10 % to 0.005 % of Ex19_std in increasing DNA concentration assay from 0.25 ng
Discussion Cardiac CT,offers,detailed anatomical assessment of CAD comparable
Proper anatomy,is,particularly crucial to normal physiology of aspiration
Cancer Genome Atlas project,has generated,data for over 20 cancer types
mRNA vaccines,are highly suitable for,targeting tumor specific antigens
Department of Biological Sciences,Department of,Department of Animal Sciences
Department of Medicine,is,Kurume University School of Medicine
Human pancreatic adenocarcinoma tissues,were obtained from,Pathology Unit
Epidemiologie,is,Universitätsklinikum Hamburg - Eppendorf
Cells,were stained with,primary rabbit polyclonal antibody
Human cells 16HBE,were kindly provided by,tumor Cell Library of Chinese Academy of Medical Sciences
Takai K Hara J Matsumoto K Hepatocyte growth factor,is constitutively produced by,human bone marrow stromal cells
miRNAs,drive hallmarks through,direct regulation of miRNAs
Department of Medical Oncology,Laboratory of,Oncology
Huang TGF beta1 expression,is,regulated by mitogen activated protein kinase in mesangial cells Kidney Int
Kawase T Yasui Y Nishina S Fibroblast activation expressing fibroblasts,promote,progression of pancreatic adenocarcinoma BMC Gastroenterol
ROCK kinase inhibitor fasudil,was first small molecule for,clinical use
Third Department of Internal Medicine,of Department is,Shizuoka Cancer Center
diagnostic biomarkers,are,with fast development of liquid biopsy urgently needed for scale studies
serum CYFRA 21 1 assay,has,In our department has routinely performed at initial diagnostic workup after based therapy since 2005
fat 1 transgenic model,been applied to,studies related to autoimmune diseases
Key Laboratory,is of,Translational Cancer Research
Shengli Clinical Medical College,is,Fujian Medical University
Kisfalvi K Guha S Rozengurt E Neurotensin,induce stimulation by,increasing duration in pancreatic cancer cells J Cell Physiol 2005
Clinical data,were collected from,medical records
human lung adenocarcinoma cell line A549 cells,were obtained from,Chinese Academy of Medical Sciences
NLRP3 inflammasome,is in,hematopoietic cells
Lgr5 cells,be cellular origin in,specifically intestinal histotype
Boffa DJ Allen MS,Grab JD Data from,Society of Surgeons General Thoracic Surgery database
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,complete pathological response in locally advanced cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
Topalian SL Taube JM Anders RA biomarkers,guide,immune checkpoint blockade in cancer therapy Nat Rev Cancer 2016 16 275 287
Simultaneous bilateral pulmonary resection,was performed by,team of surgeons
Tissue sample analysis Biomarker expression,semi-quantitatively using,immunochemistry
China Key Laboratory of Oral Medicine,is,"Guangzhou Institute of Oral Disease , Stomatology Hospital of Guangzhou Medical University"
Chiba University Hospital,Department of,Department of Diagnostic Pathology
Radiation Oncology,of Department is,School for Oncology Biology
Fig. 3 LCSE induced apoptosis,is in,NSCLC cells
Department of Medicine,is,Duke University Medical Center
Neurotransmitters,released by,autonomic system
Computed tomography,is,main imaging modality for lung lesions based on characteristics
anti- total ERK1 polyclonal antibody,was provided by,Santa Cruz Biotechnology
Wellcome Trust Sanger Institute,is,Wellcome Genome Campus
Cell type specific expression,was determined by,immunohistochemistry
miRNAs,are,Specifically are applied as prognostic biomarkers in setting of trials
anti-tumor activity,is dependent on,I presentation of specific tumor derived peptides
Biomedical Research Center,is,Affiliated Calmette Hospital of Kunming Medical University
Ugras S Primary composite tumour,is with,bipartite differentiation of esophagus Acta Chir Belg
single agent gemcitabine,was,Despite its activity first line treatment
Research Neoadjuvant concurrent chemoradiotherapy,followed by,transanal total excision assisted for rectal adenocarcinoma
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived region grafted onto human IgG4 immunoglobulin molecule with engineered Fc region
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted with engineered Fc region
Stoop HJA Peppelenbosch MP van Eijck CH Sleijfer S Tumor cell expression,predict,cancer specific survival
Fibroblast growth factor receptor gene amplification,is,associated with survival in patients with resected squamous cell lung cancer J Clin Oncol
Preoperative modified folfirinox treatment,followed by,based chemoradiation
Inadomi K Kumagai H Arita S Tsuruta N Takayoshi K Mishima K Ota S Tanaka M Okumura Y Sagara K Bi-cytopenia,induced by,antibody for melanoma of esophagus
clinical molecular variable model,However showed performance based,based clinical variables
Radial EBUS,aided in,obtaining histological diagnosis
One target gene,may,may regulated by miRNAs
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region grafted with Fc region for stabilization
